DATE,PRCP,TMAX,TMIN,PRCPT,YEAR
20090116,0.01,NULL,NULL,NULL,2009
20090116,0,NULL,NULL,NULL,2009
20090116,0,NULL,NULL,NULL,2009
20090116,0,NULL,NULL,NULL,2009
20090116,0,NULL,NULL,NULL,2009
20090116,0,56,26,0.01,2009
20090117,0.01,NULL,NULL,NULL,2009
20090117,0,NULL,NULL,NULL,2009
20090117,0,NULL,NULL,NULL,2009
20090117,0,NULL,NULL,NULL,2009
20090117,0,NULL,NULL,NULL,2009
20090117,0,56,27,0.01,2009
20090118,0.01,NULL,NULL,NULL,2009
20090118,0,NULL,NULL,NULL,2009
20090118,0,NULL,NULL,NULL,2009
20090118,0,NULL,NULL,NULL,2009
20090118,0,NULL,NULL,NULL,2009
20090118,0,56,26,0.01,2009
20090119,0,NULL,NULL,NULL,2009
20090119,0,NULL,NULL,NULL,2009
20090119,0,NULL,NULL,NULL,2009
20090119,0,NULL,NULL,NULL,2009
20090119,0,NULL,NULL,NULL,2009
20090119,0,58,27,0,2009
20090120,0,NULL,NULL,NULL,2009
20090120,0,NULL,NULL,NULL,2009
20090120,0,NULL,NULL,NULL,2009
20090120,0,NULL,NULL,NULL,2009
20090120,0,NULL,NULL,NULL,2009
20090120,0,58,27,0,2009
20090121,0,NULL,NULL,NULL,2009
20090121,0,NULL,NULL,NULL,2009
20090121,0,NULL,NULL,NULL,2009
20090121,0,NULL,NULL,NULL,2009
20090121,0,NULL,NULL,NULL,2009
20090121,0,53,28,0,2009
20090122,0,NULL,NULL,NULL,2009
20090122,0,NULL,NULL,NULL,2009
20090122,0,NULL,NULL,NULL,2009
20090122,0,NULL,NULL,NULL,2009
20090122,0,NULL,NULL,NULL,2009
20090122,0,54,37,0,2009
20090123,0,NULL,NULL,NULL,2009
20090123,0,NULL,NULL,NULL,2009
20090123,0,NULL,NULL,NULL,2009
20090123,0,NULL,NULL,NULL,2009
20090123,0,52,32,0,2009
20090124,0.06,NULL,NULL,NULL,2009
20090124,0,NULL,NULL,NULL,2009
20090124,0,NULL,NULL,NULL,2009
20090124,0.06,48,39,0.06,2009
20090125,0.89,NULL,NULL,NULL,2009
20090125,0.47,NULL,NULL,NULL,2009
20090125,0.68,NULL,NULL,NULL,2009
20090125,0.9,NULL,NULL,NULL,2009
20090125,1.16,NULL,NULL,NULL,2009
20090125,0.75,47,39,1.16,2009
20090126,0.3,NULL,NULL,NULL,2009
20090126,0.26,NULL,NULL,NULL,2009
20090126,0.38,NULL,NULL,NULL,2009
20090126,0.26,NULL,NULL,NULL,2009
20090126,0.07,NULL,NULL,NULL,2009
20090126,0.04,43,28,0.38,2009
20090127,0.03,NULL,NULL,NULL,2009
20090127,0.64,NULL,NULL,NULL,2009
20090127,0,NULL,NULL,NULL,2009
20090127,0,NULL,NULL,NULL,2009
20090127,0,NULL,NULL,NULL,2009
20090127,0.32,48,28,0.64,2009
20090128,0.2,NULL,NULL,NULL,2009
20090128,0.21,NULL,NULL,NULL,2009
20090128,0.27,NULL,NULL,NULL,2009
20090128,0.32,NULL,NULL,NULL,2009
20090128,0.06,NULL,NULL,NULL,2009
20090128,0.01,49,31,0.32,2009
20090129,0.02,NULL,NULL,NULL,2009
20090129,0.02,NULL,NULL,NULL,2009
20090129,0,NULL,NULL,NULL,2009
20090129,0,NULL,NULL,NULL,2009
20090129,0,57,28,0.02,2009
20090130,0,NULL,NULL,NULL,2009
20090130,0,NULL,NULL,NULL,2009
20090130,0,NULL,NULL,NULL,2009
20090130,0,NULL,NULL,NULL,2009
20090130,0,56,27,0,2009
20090131,0.03,NULL,NULL,NULL,2009
20090131,0,NULL,NULL,NULL,2009
20090131,0,NULL,NULL,NULL,2009
20090131,0,NULL,NULL,NULL,2009
20090131,0.01,49,27,0.03,2009
20090201,0,NULL,NULL,NULL,2009
20090201,0,NULL,NULL,NULL,2009
20090201,0,NULL,NULL,NULL,2009
20090201,0,56,26,0,2009
20090202,0,NULL,NULL,NULL,2009
20090202,0,NULL,NULL,NULL,2009
20090202,0,NULL,NULL,NULL,2009
20090202,0,61,27,0,2009
20090203,0,NULL,NULL,NULL,2009
20090203,0,NULL,NULL,NULL,2009
20090203,0,NULL,NULL,NULL,2009
20090203,0,NULL,NULL,NULL,2009
20090203,0,65,28,0,2009
20090204,0,NULL,NULL,NULL,2009
20090204,0,NULL,NULL,NULL,2009
20090204,0,NULL,NULL,NULL,2009
20090204,0,NULL,NULL,NULL,2009
20090204,0,61,32,0,2009
20090205,0.14,NULL,NULL,NULL,2009
20090205,0,NULL,NULL,NULL,2009
20090205,0,NULL,NULL,NULL,2009
20090205,0,NULL,NULL,NULL,2009
20090205,0.27,52,34,0.27,2009
20090206,0.32,NULL,NULL,NULL,2009
20090206,0.41,NULL,NULL,NULL,2009
20090206,0.4,NULL,NULL,NULL,2009
20090206,0.13,NULL,NULL,NULL,2009
20090206,0.19,51,45,0.41,2009
20090207,0.02,NULL,NULL,NULL,2009
20090207,0.03,NULL,NULL,NULL,2009
20090207,0,NULL,NULL,NULL,2009
20090207,0,NULL,NULL,NULL,2009
20090207,0,55,31,0.03,2009
20090208,0.02,NULL,NULL,NULL,2009
20090208,0.2,NULL,NULL,NULL,2009
20090208,0,NULL,NULL,NULL,2009
20090208,0,NULL,NULL,NULL,2009
20090208,0,NULL,NULL,NULL,2009
20090208,0.12,50,29,0.2,2009
20090209,0.19,NULL,NULL,NULL,2009
20090209,0.22,NULL,NULL,NULL,2009
20090209,0.22,NULL,NULL,NULL,2009
20090209,0.12,NULL,NULL,NULL,2009
20090209,0.47,NULL,NULL,NULL,2009
20090209,0.22,43,29,0.47,2009
20090210,0.31,NULL,NULL,NULL,2009
20090210,0.23,NULL,NULL,NULL,2009
20090210,0.36,NULL,NULL,NULL,2009
20090210,0.37,NULL,NULL,NULL,2009
20090210,0.39,NULL,NULL,NULL,2009
20090210,0.37,44,31,0.39,2009
20090211,1.13,NULL,NULL,NULL,2009
20090211,1.04,NULL,NULL,NULL,2009
20090211,1.15,NULL,NULL,NULL,2009
20090211,1.01,NULL,NULL,NULL,2009
20090211,0.51,NULL,NULL,NULL,2009
20090211,0.66,46,33,1.15,2009
20090212,0.14,NULL,NULL,NULL,2009
20090212,0.17,NULL,NULL,NULL,2009
20090212,0.03,NULL,NULL,NULL,2009
20090212,0.11,NULL,NULL,NULL,2009
20090212,0.54,NULL,NULL,NULL,2009
20090212,0.69,47,31,0.69,2009
20090213,0.45,NULL,NULL,NULL,2009
20090213,0.48,NULL,NULL,NULL,2009
20090213,0.54,NULL,NULL,NULL,2009
20090213,0.48,NULL,NULL,NULL,2009
20090213,0.11,NULL,NULL,NULL,2009
20090213,0.02,45,31,0.54,2009
20090214,0.09,NULL,NULL,NULL,2009
20090214,0.08,NULL,NULL,NULL,2009
20090214,0.05,NULL,NULL,NULL,2009
20090214,0.09,NULL,NULL,NULL,2009
20090214,0.07,NULL,NULL,NULL,2009
20090214,0.33,49,34,0.33,2009
20090215,0.18,NULL,NULL,NULL,2009
20090215,0.34,NULL,NULL,NULL,2009
20090215,0.3,NULL,NULL,NULL,2009
20090215,0.29,NULL,NULL,NULL,2009
20090215,0.2,NULL,NULL,NULL,2009
20090215,0.02,59,38,0.34,2009
20090216,0.02,NULL,NULL,NULL,2009
20090216,0.02,NULL,NULL,NULL,2009
20090216,0.06,NULL,NULL,NULL,2009
20090216,0.02,NULL,NULL,NULL,2009
20090216,0.04,NULL,NULL,NULL,2009
20090216,0,55,40,0.06,2009
20090217,0.09,NULL,NULL,NULL,2009
20090217,0.04,NULL,NULL,NULL,2009
20090217,0.1,NULL,NULL,NULL,2009
20090217,0.16,NULL,NULL,NULL,2009
20090217,0,NULL,NULL,NULL,2009
20090217,0.04,56,32,0.16,2009
20090218,0.02,NULL,NULL,NULL,2009
20090218,0,NULL,NULL,NULL,2009
20090218,0,NULL,NULL,NULL,2009
20090218,0,NULL,NULL,NULL,2009
20090218,0,NULL,NULL,NULL,2009
20090218,0,59,31,0.02,2009
20090219,0,NULL,NULL,NULL,2009
20090219,0,NULL,NULL,NULL,2009
20090219,0,NULL,NULL,NULL,2009
20090219,0,NULL,NULL,NULL,2009
20090219,0,59,34,0,2009
20090220,0,NULL,NULL,NULL,2009
20090220,0,NULL,NULL,NULL,2009
20090220,0,NULL,NULL,NULL,2009
20090220,0,NULL,NULL,NULL,2009
20090220,0.01,62,33,0.01,2009
20090221,0.06,NULL,NULL,NULL,2009
20090221,0,NULL,NULL,NULL,2009
20090221,0,NULL,NULL,NULL,2009
20090221,0,NULL,NULL,NULL,2009
20090221,0.27,58,33,0.27,2009
20090222,0.75,NULL,NULL,NULL,2009
20090222,0.8,NULL,NULL,NULL,2009
20090222,0.87,NULL,NULL,NULL,2009
20090222,0.09,NULL,NULL,NULL,2009
20090222,1.17,NULL,NULL,NULL,2009
20090222,1.76,55,48,1.76,2009
20090223,0.97,NULL,NULL,NULL,2009
20090223,1.7,NULL,NULL,NULL,2009
20090223,1.22,NULL,NULL,NULL,2009
20090223,0.85,NULL,NULL,NULL,2009
20090223,1.01,NULL,NULL,NULL,2009
20090223,1.08,54,47,1.7,2009
20090224,1.21,NULL,NULL,NULL,2009
20090224,1,NULL,NULL,NULL,2009
20090224,1.32,NULL,NULL,NULL,2009
20090224,1.3,NULL,NULL,NULL,2009
20090224,1.16,NULL,NULL,NULL,2009
20090224,1.41,53,49,1.41,2009
20090225,1.03,NULL,NULL,NULL,2009
20090225,1.1,NULL,NULL,NULL,2009
20090225,1.24,NULL,NULL,NULL,2009
20090225,1.15,NULL,NULL,NULL,2009
20090225,1.45,NULL,NULL,NULL,2009
20090225,1.08,50,44,1.45,2009
20090226,0.55,NULL,NULL,NULL,2009
20090226,0.53,NULL,NULL,NULL,2009
20090226,0.63,NULL,NULL,NULL,2009
20090226,0.73,NULL,NULL,NULL,2009
20090226,0.47,NULL,NULL,NULL,2009
20090226,0.02,48,36,0.73,2009
20090227,0.01,NULL,NULL,NULL,2009
20090227,0.02,NULL,NULL,NULL,2009
20090227,0.01,NULL,NULL,NULL,2009
20090227,0.03,NULL,NULL,NULL,2009
20090227,0.03,NULL,NULL,NULL,2009
20090227,0,49,32,0.03,2009
20090228,0.01,NULL,NULL,NULL,2009
20090228,0.01,NULL,NULL,NULL,2009
20090228,0,NULL,NULL,NULL,2009
20090228,0,NULL,NULL,NULL,2009
20090228,0,NULL,NULL,NULL,2009
20090228,0,58,31,0.01,2009
20090301,0.01,NULL,NULL,NULL,2009
20090301,0.01,NULL,NULL,NULL,2009
20090301,0.1,NULL,NULL,NULL,2009
20090301,1.11,NULL,NULL,NULL,2009
20090301,0,NULL,NULL,NULL,2009
20090301,1.89,54,47,1.89,2009
20090302,1.93,NULL,NULL,NULL,2009
20090302,2.2,NULL,NULL,NULL,2009
20090302,2.2,NULL,NULL,NULL,2009
20090302,1.65,NULL,NULL,NULL,2009
20090302,0.93,NULL,NULL,NULL,2009
20090302,0.64,60,43,2.2,2009
20090303,0.54,NULL,NULL,NULL,2009
20090303,0.56,NULL,NULL,NULL,2009
20090303,0.6,NULL,NULL,NULL,2009
20090303,0.6,NULL,NULL,NULL,2009
20090303,0.63,NULL,NULL,NULL,2009
20090303,0.48,51,34,0.63,2009
20090304,0.18,NULL,NULL,NULL,2009
20090304,0.19,NULL,NULL,NULL,2009
20090304,0.38,NULL,NULL,NULL,2009
20090304,0.3,NULL,NULL,NULL,2009
20090304,0.16,NULL,NULL,NULL,2009
20090304,0.13,49,33,0.38,2009
20090305,0.34,NULL,NULL,NULL,2009
20090305,0.18,NULL,NULL,NULL,2009
20090305,0.06,NULL,NULL,NULL,2009
20090305,0.23,NULL,NULL,NULL,2009
20090305,0.44,NULL,NULL,NULL,2009
20090305,0.15,48,33,0.44,2009
20090306,0.33,NULL,NULL,NULL,2009
20090306,0.21,NULL,NULL,NULL,2009
20090306,0.25,NULL,NULL,NULL,2009
20090306,0.4,NULL,NULL,NULL,2009
20090306,0.26,NULL,NULL,NULL,2009
20090306,0.09,50,30,0.4,2009
20090307,0.02,NULL,NULL,NULL,2009
20090307,0.01,NULL,NULL,NULL,2009
20090307,0.03,NULL,NULL,NULL,2009
20090307,0.03,NULL,NULL,NULL,2009
20090307,0,NULL,NULL,NULL,2009
20090307,0,48,30,0.03,2009
20090308,0.22,NULL,NULL,NULL,2009
20090308,0.15,NULL,NULL,NULL,2009
20090308,0.24,NULL,NULL,NULL,2009
20090308,0.28,NULL,NULL,NULL,2009
20090308,0.54,NULL,NULL,NULL,2009
20090308,0.29,45,33,0.54,2009
20090309,0.32,NULL,NULL,NULL,2009
20090309,0.32,NULL,NULL,NULL,2009
20090309,0.36,NULL,NULL,NULL,2009
20090309,0.27,NULL,NULL,NULL,2009
20090309,0.44,45,32,0.44,2009
20090310,0.13,NULL,NULL,NULL,2009
20090310,0.08,NULL,NULL,NULL,2009
20090310,0.07,NULL,NULL,NULL,2009
20090310,0.06,NULL,NULL,NULL,2009
20090310,0.02,44,29,0.13,2009
20090311,0.03,NULL,NULL,NULL,2009
20090311,0,NULL,NULL,NULL,2009
20090311,0,NULL,NULL,NULL,2009
20090311,0,NULL,NULL,NULL,2009
20090311,0,51,27,0.03,2009
20090312,0,NULL,NULL,NULL,2009
20090312,0,NULL,NULL,NULL,2009
20090312,0,NULL,NULL,NULL,2009
20090312,0,NULL,NULL,NULL,2009
20090312,0,60,28,0,2009
20090313,0,NULL,NULL,NULL,2009
20090313,0,NULL,NULL,NULL,2009
20090313,0,NULL,NULL,NULL,2009
20090313,0,NULL,NULL,NULL,2009
20090313,0,52,29,0,2009
20090314,0.05,NULL,NULL,NULL,2009
20090314,0.38,NULL,NULL,NULL,2009
20090314,0,NULL,NULL,NULL,2009
20090314,0,NULL,NULL,NULL,2009
20090314,0,NULL,NULL,NULL,2009
20090314,0.34,50,40,0.38,2009
20090315,0.7,NULL,NULL,NULL,2009
20090315,0.72,NULL,NULL,NULL,2009
20090315,0.95,NULL,NULL,NULL,2009
20090315,0.92,NULL,NULL,NULL,2009
20090315,1.97,NULL,NULL,NULL,2009
20090315,1.57,51,37,1.97,2009
20090316,1.23,NULL,NULL,NULL,2009
20090316,1.39,NULL,NULL,NULL,2009
20090316,1.45,NULL,NULL,NULL,2009
20090316,1.34,NULL,NULL,NULL,2009
20090316,0.34,NULL,NULL,NULL,2009
20090316,0.53,53,37,1.45,2009
20090317,0.06,NULL,NULL,NULL,2009
20090317,0.03,NULL,NULL,NULL,2009
20090317,0.04,NULL,NULL,NULL,2009
20090317,0.06,NULL,NULL,NULL,2009
20090317,0.06,NULL,NULL,NULL,2009
20090317,0,56,40,0.06,2009
20090318,0.03,NULL,NULL,NULL,2009
20090318,0,NULL,NULL,NULL,2009
20090318,0,NULL,NULL,NULL,2009
20090318,0,NULL,NULL,NULL,2009
20090318,0,NULL,NULL,NULL,2009
20090318,0,60,35,0.03,2009
20090319,0.02,NULL,NULL,NULL,2009
20090319,0,NULL,NULL,NULL,2009
20090319,0,NULL,NULL,NULL,2009
20090319,0,NULL,NULL,NULL,2009
20090319,0,NULL,NULL,NULL,2009
20090319,0.03,58,34,0.03,2009
20090320,0.03,NULL,NULL,NULL,2009
20090320,0.04,NULL,NULL,NULL,2009
20090320,0.04,NULL,NULL,NULL,2009
20090320,0.03,NULL,NULL,NULL,2009
20090320,0.09,NULL,NULL,NULL,2009
20090320,0.1,56,44,0.1,2009
20090321,0.02,NULL,NULL,NULL,2009
20090321,0.04,NULL,NULL,NULL,2009
20090321,0.04,NULL,NULL,NULL,2009
20090321,0.04,NULL,NULL,NULL,2009
20090321,0.22,NULL,NULL,NULL,2009
20090321,0.39,55,38,0.39,2009
20090322,0.62,NULL,NULL,NULL,2009
20090322,0.91,NULL,NULL,NULL,2009
20090322,0.75,NULL,NULL,NULL,2009
20090322,0.72,NULL,NULL,NULL,2009
20090322,0.64,NULL,NULL,NULL,2009
20090322,0.32,49,31,0.91,2009
20090323,0.11,NULL,NULL,NULL,2009
20090323,0.13,NULL,NULL,NULL,2009
20090323,0.11,NULL,NULL,NULL,2009
20090323,0.2,NULL,NULL,NULL,2009
20090323,0.16,NULL,NULL,NULL,2009
20090323,0.05,48,30,0.2,2009
20090324,0.17,NULL,NULL,NULL,2009
20090324,0.2,NULL,NULL,NULL,2009
20090324,0.24,NULL,NULL,NULL,2009
20090324,0.19,NULL,NULL,NULL,2009
20090324,0.17,NULL,NULL,NULL,2009
20090324,0.08,54,43,0.24,2009
20090325,0.13,NULL,NULL,NULL,2009
20090325,0.11,NULL,NULL,NULL,2009
20090325,0.19,NULL,NULL,NULL,2009
20090325,1.06,NULL,NULL,NULL,2009
20090325,0.29,NULL,NULL,NULL,2009
20090325,0.94,51,44,1.06,2009
20090326,0.72,NULL,NULL,NULL,2009
20090326,0.64,NULL,NULL,NULL,2009
20090326,0.63,NULL,NULL,NULL,2009
20090326,0.7,NULL,NULL,NULL,2009
20090326,0.05,NULL,NULL,NULL,2009
20090326,0,52,36,0.72,2009
20090327,0.02,NULL,NULL,NULL,2009
20090327,0.02,NULL,NULL,NULL,2009
20090327,0,NULL,NULL,NULL,2009
20090327,0,NULL,NULL,NULL,2009
20090327,0,NULL,NULL,NULL,2009
20090327,0,56,32,0.02,2009
20090328,0.03,NULL,NULL,NULL,2009
20090328,0.01,NULL,NULL,NULL,2009
20090328,0.01,NULL,NULL,NULL,2009
20090328,0.44,NULL,NULL,NULL,2009
20090328,0,NULL,NULL,NULL,2009
20090328,0.43,55,40,0.44,2009
20090329,0.39,NULL,NULL,NULL,2009
20090329,0.33,NULL,NULL,NULL,2009
20090329,0.43,NULL,NULL,NULL,2009
20090329,0.41,NULL,NULL,NULL,2009
20090329,0.24,NULL,NULL,NULL,2009
20090329,0.04,50,33,0.43,2009
20090330,0.05,NULL,NULL,NULL,2009
20090330,0.19,NULL,NULL,NULL,2009
20090330,0,NULL,NULL,NULL,2009
20090330,0,NULL,NULL,NULL,2009
20090330,0,NULL,NULL,NULL,2009
20090330,0,53,31,0.19,2009
20090331,0.01,NULL,NULL,NULL,2009
20090331,0.16,NULL,NULL,NULL,2009
20090331,0,NULL,NULL,NULL,2009
20090331,0,NULL,NULL,NULL,2009
20090331,0,NULL,NULL,NULL,2009
20090331,0.05,50,33,0.16,2009
20090401,0.09,NULL,NULL,NULL,2009
20090401,0.08,NULL,NULL,NULL,2009
20090401,0.1,NULL,NULL,NULL,2009
20090401,0.17,NULL,NULL,NULL,2009
20090401,0.19,NULL,NULL,NULL,2009
20090401,0.14,52,40,0.19,2009
20090402,0.4,NULL,NULL,NULL,2009
20090402,0.48,NULL,NULL,NULL,2009
20090402,0.62,NULL,NULL,NULL,2009
20090402,0.55,NULL,NULL,NULL,2009
20090402,0.87,NULL,NULL,NULL,2009
20090402,0.64,51,39,0.87,2009
20090403,0.16,NULL,NULL,NULL,2009
20090403,0.1,NULL,NULL,NULL,2009
20090403,0.11,NULL,NULL,NULL,2009
20090403,0.44,NULL,NULL,NULL,2009
20090403,0.21,NULL,NULL,NULL,2009
20090403,0.07,49,34,0.44,2009
20090404,0.1,NULL,NULL,NULL,2009
20090404,0,NULL,NULL,NULL,2009
20090404,0,NULL,NULL,NULL,2009
20090404,0,NULL,NULL,NULL,2009
20090404,0,58,29,0.1,2009
20090405,0,NULL,NULL,NULL,2009
20090405,0,NULL,NULL,NULL,2009
20090405,0,NULL,NULL,NULL,2009
20090405,0,NULL,NULL,NULL,2009
20090405,0,NULL,NULL,NULL,2009
20090405,0,69,29,0,2009
20090406,0,NULL,NULL,NULL,2009
20090406,0,NULL,NULL,NULL,2009
20090406,0,NULL,NULL,NULL,2009
20090406,0,NULL,NULL,NULL,2009
20090406,0,67,30,0,2009
20090407,0,NULL,NULL,NULL,2009
20090407,0,NULL,NULL,NULL,2009
20090407,0,NULL,NULL,NULL,2009
20090407,0,NULL,NULL,NULL,2009
20090407,0,57,37,0,2009
20090408,0.08,NULL,NULL,NULL,2009
20090408,0.14,NULL,NULL,NULL,2009
20090408,0.2,NULL,NULL,NULL,2009
20090408,0.09,NULL,NULL,NULL,2009
20090408,0.29,NULL,NULL,NULL,2009
20090408,0.34,52,46,0.34,2009
20090409,0.14,NULL,NULL,NULL,2009
20090409,0.3,NULL,NULL,NULL,2009
20090409,0.26,NULL,NULL,NULL,2009
20090409,0.18,NULL,NULL,NULL,2009
20090409,0.43,NULL,NULL,NULL,2009
20090409,0.33,51,39,0.43,2009
20090410,0.22,NULL,NULL,NULL,2009
20090410,0.18,NULL,NULL,NULL,2009
20090410,0.16,NULL,NULL,NULL,2009
20090410,0.3,NULL,NULL,NULL,2009
20090410,0.19,NULL,NULL,NULL,2009
20090410,0.05,54,39,0.3,2009
20090411,0.07,NULL,NULL,NULL,2009
20090411,0.02,NULL,NULL,NULL,2009
20090411,0.04,NULL,NULL,NULL,2009
20090411,0.09,NULL,NULL,NULL,2009
20090411,0,54,42,0.09,2009
20090412,0.02,NULL,NULL,NULL,2009
20090412,0,NULL,NULL,NULL,2009
20090412,0.01,NULL,NULL,NULL,2009
20090412,0.64,NULL,NULL,NULL,2009
20090412,0.44,62,44,0.64,2009
20090413,0.35,NULL,NULL,NULL,2009
20090413,0.42,NULL,NULL,NULL,2009
20090413,0.53,NULL,NULL,NULL,2009
20090413,0.41,NULL,NULL,NULL,2009
20090413,0.27,NULL,NULL,NULL,2009
20090413,0.07,51,36,0.53,2009
20090414,0.37,NULL,NULL,NULL,2009
20090414,0.15,NULL,NULL,NULL,2009
20090414,0.37,NULL,NULL,NULL,2009
20090414,0.45,NULL,NULL,NULL,2009
20090414,0.43,NULL,NULL,NULL,2009
20090414,0.34,49,35,0.45,2009
20090415,0.16,NULL,NULL,NULL,2009
20090415,0.17,NULL,NULL,NULL,2009
20090415,0.04,NULL,NULL,NULL,2009
20090415,0.16,NULL,NULL,NULL,2009
20090415,0.07,NULL,NULL,NULL,2009
20090415,0.05,52,31,0.17,2009
20090416,0.03,NULL,NULL,NULL,2009
20090416,0.03,NULL,NULL,NULL,2009
20090416,0.04,NULL,NULL,NULL,2009
20090416,0.05,NULL,NULL,NULL,2009
20090416,0,NULL,NULL,NULL,2009
20090416,0,58,30,0.05,2009
20090417,0.05,NULL,NULL,NULL,2009
20090417,0.06,NULL,NULL,NULL,2009
20090417,0.05,NULL,NULL,NULL,2009
20090417,0.14,NULL,NULL,NULL,2009
20090417,0.23,NULL,NULL,NULL,2009
20090417,0.2,56,40,0.23,2009
20090418,0.1,NULL,NULL,NULL,2009
20090418,0.03,NULL,NULL,NULL,2009
20090418,0.1,NULL,NULL,NULL,2009
20090418,0.02,NULL,NULL,NULL,2009
20090418,0,NULL,NULL,NULL,2009
20090418,0,59,40,0.1,2009
20090419,0,NULL,NULL,NULL,2009
20090419,0,NULL,NULL,NULL,2009
20090419,0,NULL,NULL,NULL,2009
20090419,0,NULL,NULL,NULL,2009
20090419,0,NULL,NULL,NULL,2009
20090419,0,65,33,0,2009
20090420,0,NULL,NULL,NULL,2009
20090420,0,NULL,NULL,NULL,2009
20090420,0,NULL,NULL,NULL,2009
20090420,0,NULL,NULL,NULL,2009
20090420,0,NULL,NULL,NULL,2009
20090420,0,56,43,0,2009
20090421,0,NULL,NULL,NULL,2009
20090421,0,NULL,NULL,NULL,2009
20090421,0,NULL,NULL,NULL,2009
20090421,0,NULL,NULL,NULL,2009
20090421,0,NULL,NULL,NULL,2009
20090421,0,56,45,0,2009
20090422,0,NULL,NULL,NULL,2009
20090422,0,NULL,NULL,NULL,2009
20090422,0,NULL,NULL,NULL,2009
20090422,0,NULL,NULL,NULL,2009
20090422,0,NULL,NULL,NULL,2009
20090422,0,52,45,0,2009
20090423,0,NULL,NULL,NULL,2009
20090423,0,NULL,NULL,NULL,2009
20090423,0,NULL,NULL,NULL,2009
20090423,0,NULL,NULL,NULL,2009
